"Country","NOMBRE2","GDPper","Female","Male","Population","ClasPerGDP"
"United States","United States","52262,7841613846","50,5166188282","49,4833811718",323127513,5
"Canada","Canada","50231,885198923","50,3911538157","49,6088461843",36286425,5
"Taiwan","Taiwan","#N/D","#N/D","#N/D","#N/D","#N/D"
"Brazil","Brazil","10826,2714348298","50,8395352705","49,1604647295",207652865,1
"India","India","1861,4910293515","48,1719714467","51,8280285533",1324171354,0
"Australia","Australia","55670,924142592","50,1764580754","49,8235419246",24127159,6
"Russia","Russian Federation","11099,17305721","53,531138334","46,468861666",144342396,1
"Netherlands","Netherlands","52304,2980206259","50,2685384544","49,7314615456",17018408,5
"Italy","Italy","34377,9257503853","51,2978735315","48,7021264685",60600590,3
"United Kingdom","United Kingdom","41954,7375169529","50,6856804605","49,3143195395",65637239,4
"Czech Republic","Czech Republic","21903,8536115995","50,8554559205","49,1445440795",10561633,2
"Colombia","Colombia","7525,855325711","50,7845099191","49,2154900809",48653419,1
"Germany","Germany","45745,7899036938","50,7864781922","49,2135218078",82667685,5
"Denmark","Denmark","60637,3355889663","50,2648433516","49,7351566484",5731118,6
"Poland","Poland","15074,733788871","51,7017438622","48,2982561378",37948016,2
"South Africa","South Africa","7503,2703812216","50,9079017896","49,0920982104",55908865,1
"Sweden","Sweden","56586,8627335729","49,9866684164","50,0133315836",9903122,6
"Portugal","Portugal","22428,1146798288","52,6621471576","47,3378528424",10324611,2
"Other","Other","#N/D","#N/D","#N/D","#N/D","#N/D"
"Mexico","Mexico","9707,9080050833","50,2106822127","49,7893177873",127540423,1
"New Zealand","New Zealand","36844,4500819111","50,8265044411","49,1734955589",4692700,4
"People 's Republic of China","China","6893,776361339","48,4738191023","51,5261808977",1378665000,1
"Japan","Japan","47623,2709305964","51,1534909939","48,8465090061",126994511,5
"Iran","Iran","#N/D","#N/D","#N/D","#N/D","#N/D"
"Singapore","Singapore","52600,6412258486","50,5981286104","49,4018713896",5607283,5
"France","France","42013,2862913497","50,8477868646","49,1522131354",66896109,4
"Spain","Spain","31532,816377945","50,9592982606","49,0407017394",46443959,3
"Indonesia","Indonesia","3974,0584850012","49,6440061338","50,3559938662",261115456,0
"Israel","Israel","33673,1277021872","50,3667560159","49,6332439841",8547100,3
"Egypt","Egypt","#N/D","#N/D","#N/D","#N/D","#N/D"
"Hungary","Hungary","14991,1896995127","52,4499557995","47,5500442005",9817958,1
"Argentina","Argentina","10153,9979117337","51,0623359225","48,9376640775",43847430,1
"Turkey","Turkey","14116,9800575831","50,7824965622","49,2175034378",79512426,1
"Ukraine","Ukraine","2905,8574403437","53,7759988349","46,2240011651",45004645,0
"Greece","Greece","22749,3103186218","50,7702762454","49,2297237546",10746740,2
"Pakistan","Pakistan","1178,7981111199","48,6319607254","51,3680392746",193203476,0
"Finland","Finland","45825,4907138827","50,7550883306","49,2449116694",5495096,5
"Norway","Norway","90344,4147162688","49,5977784422","50,4022215578",5232929,9
"Ireland","Ireland","69632,2685741346","50,4118427211","49,5881572789",4773095,7
"Chile","Chile","15019,6329654969","50,4704948849","49,5295051151",17909754,2
"Belarus","Belarus","6217,717165787","53,4691159922","46,5308840078",9507120,1
"Malaysia","Malaysia","11031,8215581749","48,341524925","51,658475075",31187265,1
"South Korea","South Korea","#N/D","#N/D","#N/D","#N/D","#N/D"
"Nigeria","Nigeria","2455,9185587943","49,3376311353","50,6623688647",185989640,0
"Belgium","Belgium","45430,913067262","50,7780689775","49,2219310225",11348159,5
"Hong Kong","Hong Kong","#N/D","#N/D","#N/D","#N/D","#N/D"
"Republic of China","China","6893,776361339","48,4738191023","51,5261808977",1378665000,1
"Philippines","Philippines","2753,3498622999","49,6515580531","50,3484419469",103320222,0
"Vietnam","Vietnam","1770,2579063809","50,5241280484","49,4758719516",92701100,0
"Kenya","Kenya","1143,0653734013","50,2996911119","49,7003088881",48461567,0
"Switzerland","Switzerland","76694,0023451965","50,4811977132","49,5188022868",8372098,8
"Romania","Romania","10062,4276044995","51,5439688378","48,4560311622",19705301,1
