"Country"	"no_rows"	"Age"	"Population"	"ClasPerGDP"	"perRespuestas"
"1"	"Argentina"	92	34.8152173913044	43847430	1	2.09818454582173
"2"	"Australia"	421	36.3911980440098	24127159	6	17.4492156328891
"3"	"Belarus"	54	27.5925925925926	9507120	1	5.67995355060207
"4"	"Belgium"	91	34.7032967032967	11348159	5	8.01892183569159
"5"	"Brazil"	465	31.8599137931034	207652865	1	2.23931415538139
"6"	"Canada"	440	35.7726218097448	36286425	5	12.1257467496454
"7"	"Chile"	51	31.7647058823529	17909754	2	2.84761030218506
"8"	"Colombia"	113	31.4867256637168	48653419	1	2.32255003497288
"9"	"Czech Republic"	53	31.9245283018868	10561633	2	5.0181633843933
"10"	"Denmark"	78	34.3333333333333	5731118	6	13.6099099687007
"11"	"Egypt"	66	30.1666666666667	NA	NA	NA
"12"	"Finland"	67	33.2238805970149	5495096	5	12.1926896272604
"13"	"France"	442	32.7328767123288	66896109	4	6.60726022196597
"14"	"Germany"	460	33.7991169977925	82667685	5	5.56444758311546
"15"	"Greece"	81	31.8271604938272	10746740	2	7.53716941137498
"16"	"Hong Kong"	65	31.6833333333333	NA	NA	NA
"17"	"Hungary"	66	34.0151515151515	9817958	1	6.72237546748519
"18"	"India"	2704	27.5687663063735	1324171354	0	2.04203178979206
"19"	"Indonesia"	131	26.4198473282443	261115456	0	0.501693779475084
"20"	"Iran"	112	28.4684684684685	NA	NA	NA
"21"	"Ireland"	94	36.0108695652174	4773095	7	19.6937207409448
"22"	"Israel"	105	36.4190476190476	8547100	3	12.2848685519065
"23"	"Italy"	238	35.6936170212766	60600590	3	3.92735450265418
"24"	"Japan"	277	34.7142857142857	126994511	5	2.18119663455376
"25"	"Kenya"	59	27.6271186440678	48461567	0	1.21745960051189
"26"	"Malaysia"	79	29.8607594936709	31187265	1	2.53308521923933
"27"	"Mexico"	126	33.608	127540423	1	0.987922080201976
"28"	"Netherlands"	205	36.9753694581281	17018408	5	12.0457800753161
"29"	"New Zealand"	74	40.0571428571429	4692700	4	15.7691733969783
"30"	"Nigeria"	73	30.3150684931507	185989640	0	0.392494979827909
"31"	"Norway"	53	34.4615384615385	5232929	9	10.128171049139
"32"	"Other"	1023	31.4930830039526	NA	NA	NA
"33"	"Pakistan"	161	26.8819875776398	193203476	0	0.833318340504391
"34"	"People 's Republic of China"	471	27.0194384449244	1378665000	1	0.341634842401889
"35"	"Philippines"	84	28.0731707317073	103320222	0	0.813006383203474
"36"	"Poland"	184	30.7978142076503	37948016	2	4.84873833720319
"37"	"Portugal"	93	34.4239130434783	10324611	2	9.00760328887936
"38"	"Republic of China"	67	27.1492537313433	1378665000	1	0.0485977376665107
"39"	"Romania"	59	32.7931034482759	19705301	1	2.99411818170146
"40"	"Russia"	578	29.9808695652174	144342396	1	4.00436750405612
"41"	"Singapore"	184	31.489010989011	5607283	5	32.8144664715514
"42"	"South Africa"	127	32.0944881889764	55908865	1	2.27155389400232
"43"	"South Korea"	194	32.2094240837696	NA	NA	NA
"44"	"Spain"	320	36.7269841269841	46443959	3	6.89002416869759
"45"	"Sweden"	89	35.1931818181818	9903122	6	8.98706488721436
"46"	"Switzerland"	129	35.2204724409449	8372098	8	15.4083241739406
"47"	"Taiwan"	254	30.4606299212598	NA	NA	NA
"48"	"Turkey"	144	29.9160839160839	79512426	1	1.81103768610959
"49"	"Ukraine"	196	29.0717948717949	45004645	0	4.355106011835
"50"	"United Kingdom"	535	35.8096153846154	65637239	4	8.15086082459989
"51"	"United States"	4197	35.2232512795515	323127513	5	12.9886804160808
"52"	"Vietnam"	71	25.7101449275362	92701100	0	0.765902454231935
